id,year,job_role,experience_level,industry,location,skills,num_skills,salary_usd,automation_risk,demand_index,avg_skill_trend_score,experience_ord,salary_tier,risk_label,skill_count,future_proof,salary_vs_median,role_encoded,exp_encoded
19,2023,SEO Specialist,Mid,Energy,Canada,Deep Learning|Crystal Reports|Data Entry,3,102504.0,0.98,106.2,4.13,2,Low,Critical Risk,3,0,0.689,19,2
20,2019,Business Analyst,Senior,Finance,Netherlands,Kubernetes|Legacy VBA|Statistics|dbt,4,155103.0,0.68,104.9,6.5,3,Mid,High Risk,4,0,0.798,3,3
21,2024,Financial Analyst,Principal,Consulting,Canada,COBOL|Power BI|dbt|Cloud (AWS/GCP)|Cold Calling|Legacy VBA,6,259841.0,0.98,126.0,5.08,5,Elite,Critical Risk,6,0,1.016,12,5
22,2022,QA Engineer,Lead,Tech,UK,SQL|MS Access|MLOps,3,185637.0,0.899,121.8,6.23,4,High,Critical Risk,3,0,0.807,18,4
23,2019,Excel Analyst,Mid,Retail,Netherlands,Spark/PySpark|Power BI|LLMs/GenAI|Kubernetes|Tableau|Airflow,6,159139.0,0.15,101.8,8.38,2,Mid,Low Risk,6,1,1.07,11,2
24,2019,IT Support Specialist,Principal,Finance,USA,Deep Learning|Cold Calling|Copy-Paste Reporting,3,146174.0,0.98,107.7,4.03,5,Mid,Critical Risk,3,0,0.572,14,5
25,2022,Digital Marketer,Lead,Retail,Singapore,LLMs/GenAI|SQL|Python,3,201437.0,0.122,122.5,8.83,4,High,Low Risk,3,1,0.876,10,4
26,2021,IT Support Specialist,Senior,Government,Netherlands,Spark/PySpark|dbt|Prompt Engineering|Basic SEO|Machine Learning|Excel (Basic),6,194527.0,0.923,107.2,7.08,3,High,Critical Risk,6,0,1.0,14,3
27,2019,Product Manager,Senior,Tech,USA,A/B Testing|Copy-Paste Reporting|LLMs/GenAI|Machine Learning|Basic SEO|Deep Learning,6,276708.0,0.9,98.9,6.72,3,Elite,Critical Risk,6,0,1.423,17,3
28,2019,Accountant,Entry,Retail,Singapore,Excel (Basic)|Airflow|Manual Testing,3,65535.0,0.98,97.4,4.87,1,Low,Critical Risk,3,0,0.598,1,1
29,2019,QA Engineer,Principal,Energy,Netherlands,Kubernetes|dbt|Legacy VBA|Crystal Reports|MLOps,5,249757.0,0.98,104.6,5.88,5,Elite,Critical Risk,5,0,0.976,18,5
30,2022,Data Engineer,Senior,Consulting,Australia,Python|Tableau|Manual Testing,3,209172.0,0.469,138.5,6.53,3,High,Moderate Risk,3,0,1.076,7,3
31,2019,Data Scientist,Principal,Retail,Netherlands,Spark/PySpark|Vector Databases|Deep Learning|Airflow|Prompt Engineering,5,387485.0,0.05,96.5,8.9,5,Elite,Low Risk,5,1,1.515,8,5
32,2025,SEO Specialist,Senior,Energy,Netherlands,Legacy VBA|Basic SEO|R,3,101516.0,0.98,122.6,3.83,3,Low,Critical Risk,3,0,0.522,19,3
33,2024,Machine Learning Engineer,Mid,Manufacturing,UK,MS Access|R|Spark/PySpark,3,184855.0,0.553,123.6,5.8,2,High,High Risk,3,0,1.243,15,2
34,2023,SQL Developer,Senior,Retail,Germany,Kubernetes|Machine Learning|Deep Learning|Data Entry|Power BI|Copy-Paste Reporting,6,226197.0,0.98,87.7,6.17,3,High,Critical Risk,6,0,1.163,20,3
35,2021,Data Engineer,Senior,Healthcare,UAE,R|Python|Cloud (AWS/GCP)|Deep Learning|Crystal Reports|Spark/PySpark,6,292443.0,0.156,114.1,7.38,3,Elite,Low Risk,6,1,1.504,7,3
36,2025,DevOps Engineer,Principal,Media,India,Spark/PySpark|Machine Learning|Prompt Engineering|Vector Databases|Basic SEO|Cold Calling,6,425335.0,0.907,125.5,6.93,5,Elite,Critical Risk,6,0,1.663,9,5
37,2020,Supply Chain Analyst,Entry,Education,Netherlands,Manual Testing|MS Access|Spark/PySpark|Airflow|LLMs/GenAI|Basic SEO,6,110065.0,0.98,101.2,5.8,1,Low,Critical Risk,6,0,1.005,23,1
38,2019,BI Developer,Senior,Government,Canada,LLMs/GenAI|COBOL|Crystal Reports|Cloud (AWS/GCP)|SQL,5,192917.0,0.942,112.3,5.86,3,High,Critical Risk,5,0,0.992,2,3
39,2025,Digital Marketer,Mid,Retail,UAE,Prompt Engineering|Basic SEO|COBOL|Copy-Paste Reporting|Airflow,5,119213.0,0.98,125.2,4.56,2,Low,Critical Risk,5,0,0.802,10,2
40,2024,SQL Developer,Lead,Education,Germany,Cold Calling|Kubernetes|Vector Databases,3,201662.0,0.929,120.8,6.4,4,High,Critical Risk,3,0,0.877,20,4
41,2022,Supply Chain Analyst,Principal,Education,USA,Kubernetes|LLMs/GenAI|Excel (Basic),3,245830.0,0.328,141.9,7.13,5,Elite,Moderate Risk,3,1,0.961,23,5
42,2021,Business Analyst,Entry,Energy,Singapore,MS Access|COBOL|MLOps|Power BI|Manual Testing,5,81978.0,0.98,134.6,4.6,1,Low,Critical Risk,5,0,0.749,3,1
43,2019,Software Developer,Principal,Retail,Germany,Crystal Reports|Power BI|Python,3,233547.0,0.593,100.5,6.27,5,High,High Risk,3,0,0.913,21,5
44,2025,SEO Specialist,Mid,Education,Singapore,Legacy VBA|MLOps|Manual Testing,3,95807.0,0.98,131.2,4.6,2,Low,Critical Risk,3,0,0.644,19,2
45,2025,Machine Learning Engineer,Senior,Media,Germany,MLOps|SQL|Crystal Reports|Prompt Engineering|R|Spark/PySpark,6,316860.0,0.224,118.9,7.13,3,Elite,Low Risk,6,1,1.629,15,3
46,2024,Software Developer,Mid,Energy,Brazil,SQL|R|Basic SEO|Python|Prompt Engineering,5,188312.0,0.442,122.7,7.1,2,High,Moderate Risk,5,0,1.266,21,2
47,2022,Financial Analyst,Principal,Education,UAE,Tableau|Legacy VBA|dbt|A/B Testing|Statistics|LLMs/GenAI,6,311732.0,0.518,126.9,7.2,5,Elite,High Risk,6,0,1.219,12,5
48,2021,Content Strategist,Principal,Education,UK,Legacy VBA|Prompt Engineering|Airflow|COBOL,4,196480.0,0.98,108.9,5.2,5,High,Critical Risk,4,0,0.768,5,5
49,2019,Business Analyst,Mid,Consulting,Brazil,Tableau|Power BI|Data Entry,3,94799.0,0.98,93.8,5.63,2,Low,Critical Risk,3,0,0.637,3,2
50,2024,Operations Analyst,Lead,Consulting,Singapore,Spark/PySpark|Data Entry|Crystal Reports|Python,4,186082.0,0.98,156.1,5.3,4,High,Critical Risk,4,0,0.809,16,4
51,2025,Machine Learning Engineer,Lead,Retail,India,Machine Learning|R|Airflow|Cloud (AWS/GCP)|Tableau|Spark/PySpark,6,415683.0,0.05,156.7,8.27,4,Elite,Low Risk,6,1,1.807,15,4
52,2024,Content Strategist,Principal,Energy,Australia,Manual Testing|Basic SEO|MS Access|A/B Testing|Power BI|R,6,192523.0,0.98,128.7,5.03,5,High,Critical Risk,6,0,0.753,5,5
53,2020,Product Manager,Lead,Consulting,Germany,Basic SEO|Data Entry|Kubernetes|Cold Calling,4,224604.0,0.98,103.8,3.65,4,High,Critical Risk,4,0,0.976,17,4
54,2022,HR Analyst,Mid,Manufacturing,UAE,Crystal Reports|Prompt Engineering|Airflow,3,110245.0,0.756,118.1,6.47,2,Low,Critical Risk,3,0,0.741,13,2
55,2021,SEO Specialist,Entry,Healthcare,India,SQL|Crystal Reports|Spark/PySpark|dbt,4,87299.0,0.905,110.1,6.62,1,Low,Critical Risk,4,0,0.797,19,1
56,2022,Cloud Architect,Principal,Consulting,Singapore,dbt|Basic SEO|Power BI,3,322306.0,0.62,127.2,6.43,5,Elite,High Risk,3,0,1.26,4,5
57,2025,Financial Analyst,Entry,Energy,Singapore,Python|Vector Databases|Prompt Engineering|Cold Calling|SQL|Power BI,6,135048.0,0.517,139.8,7.48,1,Mid,High Risk,6,0,1.233,12,1
58,2024,SEO Specialist,Principal,Retail,UAE,Kubernetes|Power BI|Statistics|Python,4,232845.0,0.313,131.1,8.12,5,High,Moderate Risk,4,1,0.91,19,5
59,2024,Supply Chain Analyst,Lead,Healthcare,UAE,Manual Testing|R|Python|SQL,4,189708.0,0.64,139.7,6.5,4,High,High Risk,4,0,0.825,23,4
60,2024,Data Analyst,Entry,Government,India,LLMs/GenAI|Machine Learning|Kubernetes|SQL|MLOps|dbt,6,170111.0,0.05,146.3,8.73,1,Mid,Low Risk,6,1,1.553,6,1
61,2021,Software Developer,Senior,Government,Germany,Statistics|Python|MS Access,3,187403.0,0.544,109.4,6.27,3,High,High Risk,3,0,0.964,21,3
62,2021,Excel Analyst,Entry,Tech,USA,dbt|Basic SEO|Python|Manual Testing,4,76043.0,0.98,100.6,5.88,1,Low,Critical Risk,4,0,0.694,11,1
63,2020,Digital Marketer,Entry,Energy,Canada,Crystal Reports|Kubernetes|Cold Calling|Vector Databases|LLMs/GenAI|Manual Testing,6,108069.0,0.98,103.8,5.6,1,Low,Critical Risk,6,0,0.987,10,1
64,2024,Operations Analyst,Entry,Healthcare,Germany,Excel (Basic)|Python|Prompt Engineering,3,87769.0,0.432,143.1,7.33,1,Low,Moderate Risk,3,0,0.801,16,1
65,2022,Software Developer,Mid,Finance,Brazil,Cloud (AWS/GCP)|Crystal Reports|Cold Calling|Prompt Engineering,4,160707.0,0.98,132.4,5.52,2,Mid,Critical Risk,4,0,1.081,21,2
66,2023,Machine Learning Engineer,Principal,Tech,Australia,Legacy VBA|Vector Databases|Deep Learning|A/B Testing|Data Entry|MLOps,6,442476.0,0.903,109.3,6.43,5,Elite,Critical Risk,6,0,1.73,15,5
67,2022,Digital Marketer,Entry,Government,Australia,Crystal Reports|Spark/PySpark|Power BI|LLMs/GenAI|MS Access|A/B Testing,6,111956.0,0.98,136.8,6.37,1,Low,Critical Risk,6,0,1.022,10,1
68,2021,Accountant,Principal,Consulting,UAE,Basic SEO|MS Access|Excel (Basic)|Kubernetes|MLOps|Airflow,6,247558.0,0.98,125.9,5.68,5,Elite,Critical Risk,6,0,0.968,1,5
69,2019,Statistician,Lead,Retail,UAE,MLOps|Python|Statistics|Copy-Paste Reporting|LLMs/GenAI|COBOL,6,265911.0,0.892,102.6,6.27,4,Elite,Critical Risk,6,0,1.156,22,4
70,2025,Statistician,Senior,Manufacturing,Brazil,R|Python|A/B Testing|dbt|Deep Learning,5,258213.0,0.05,145.7,8.24,3,Elite,Low Risk,5,1,1.328,22,3
71,2022,Digital Marketer,Principal,Retail,UAE,Tableau|COBOL|Python|Deep Learning|Prompt Engineering|Airflow,6,309551.0,0.309,122.9,7.45,5,Elite,Moderate Risk,6,1,1.21,10,5
72,2020,AI Engineer,Principal,Education,UAE,Power BI|MS Access|R|MLOps|Vector Databases,5,387016.0,0.186,112.8,6.92,5,Elite,Low Risk,5,0,1.513,0,5
73,2021,AI Engineer,Senior,Retail,UK,MLOps|Cloud (AWS/GCP)|MS Access|R,4,267770.0,0.283,120.6,6.68,3,Elite,Moderate Risk,4,0,1.377,0,3
74,2024,BI Developer,Mid,Retail,UAE,MS Access|Excel (Basic)|Cold Calling|A/B Testing|Manual Testing,5,115159.0,0.98,114.8,3.68,2,Low,Critical Risk,5,0,0.774,2,2
75,2019,SQL Developer,Senior,Retail,Australia,Prompt Engineering|Python|Crystal Reports|R,4,165281.0,0.562,97.6,6.7,3,Mid,High Risk,4,0,0.85,20,3
76,2019,Business Analyst,Principal,Manufacturing,India,Cloud (AWS/GCP)|Python|Excel (Basic)|Prompt Engineering|Statistics|MS Access,6,275444.0,0.592,94.6,6.77,5,Elite,High Risk,6,0,1.077,3,5
77,2020,Business Analyst,Senior,Consulting,UK,SQL|Statistics|Deep Learning,3,158988.0,0.05,104.1,8.0,3,Mid,Low Risk,3,1,0.817,3,3
78,2024,Business Analyst,Mid,Healthcare,Brazil,Deep Learning|Airflow|Cloud (AWS/GCP)|R|Cold Calling,5,165332.0,0.626,127.6,6.98,2,Mid,High Risk,5,0,1.112,3,2
79,2023,Accountant,Mid,Media,Singapore,Tableau|Prompt Engineering|Excel (Basic)|Power BI|Basic SEO|COBOL,6,136119.0,0.98,122.7,5.4,2,Mid,Critical Risk,6,0,0.915,1,2
80,2023,Product Manager,Entry,Retail,Canada,Legacy VBA|Deep Learning|LLMs/GenAI|Airflow|R,5,161394.0,0.32,115.3,7.14,1,Mid,Moderate Risk,5,1,1.474,17,1
81,2019,QA Engineer,Lead,Energy,UAE,Machine Learning|Airflow|Prompt Engineering|Crystal Reports|Copy-Paste Reporting,5,216912.0,0.98,102.5,5.98,4,High,Critical Risk,5,0,0.943,18,4
82,2024,Excel Analyst,Senior,Energy,Canada,Cloud (AWS/GCP)|R|Airflow|Data Entry|Spark/PySpark|Kubernetes,6,209078.0,0.98,124.7,7.02,3,High,Critical Risk,6,0,1.075,11,3
83,2019,Business Analyst,Mid,Manufacturing,Brazil,Tableau|Cloud (AWS/GCP)|Crystal Reports|Prompt Engineering|SQL,5,133625.0,0.44,108.8,7.04,2,Low,Moderate Risk,5,0,0.898,3,2
84,2023,SEO Specialist,Lead,Consulting,UK,Power BI|MS Access|MLOps,3,162294.0,0.892,136.7,6.33,4,Mid,Critical Risk,3,0,0.706,19,4
85,2019,Data Scientist,Mid,Energy,Brazil,Cold Calling|Legacy VBA|Basic SEO,3,122610.0,0.98,92.4,2.33,2,Low,Critical Risk,3,0,0.824,8,2
86,2019,BI Developer,Lead,Media,UAE,LLMs/GenAI|Excel (Basic)|Power BI|Data Entry|Basic SEO,5,195203.0,0.98,96.5,5.12,4,High,Critical Risk,5,0,0.849,2,4
87,2019,Digital Marketer,Senior,Government,Australia,Legacy VBA|Cloud (AWS/GCP)|Copy-Paste Reporting|LLMs/GenAI|MLOps,5,186169.0,0.98,95.4,6.16,3,High,Critical Risk,5,0,0.957,10,3
88,2022,AI Engineer,Lead,Media,USA,Deep Learning|MLOps|Kubernetes|Basic SEO|Cloud (AWS/GCP)|SQL,6,412099.0,0.05,126.8,7.62,4,Elite,Low Risk,6,1,1.792,0,4
89,2025,Data Analyst,Principal,Consulting,Singapore,dbt|A/B Testing|Vector Databases,3,251277.0,0.093,157.5,8.5,5,Elite,Low Risk,3,1,0.982,6,5
90,2022,HR Analyst,Lead,Tech,Canada,R|Spark/PySpark|Prompt Engineering|Tableau|Crystal Reports,5,196131.0,0.672,121.2,6.78,4,High,High Risk,5,0,0.853,13,4
91,2019,HR Analyst,Principal,Retail,India,R|Python|Power BI|Deep Learning|Airflow,5,259206.0,0.05,105.8,8.18,5,Elite,Low Risk,5,1,1.013,13,5
92,2019,IT Support Specialist,Entry,Healthcare,UAE,A/B Testing|Crystal Reports|Kubernetes|Power BI|Basic SEO,5,73551.0,0.98,102.3,5.72,1,Low,Critical Risk,5,0,0.672,14,1
93,2022,Excel Analyst,Lead,Media,India,dbt|Manual Testing|A/B Testing|MS Access|Spark/PySpark|Deep Learning,6,227605.0,0.98,99.6,6.53,4,High,Critical Risk,6,0,0.989,11,4
94,2025,QA Engineer,Senior,Media,Germany,Prompt Engineering|MS Access|Basic SEO,3,155795.0,0.98,120.5,4.83,3,Mid,Critical Risk,3,0,0.801,18,3
95,2024,Digital Marketer,Mid,Consulting,Netherlands,Vector Databases|MLOps|R|Cold Calling|COBOL|SQL,6,153055.0,0.98,143.4,5.88,2,Mid,Critical Risk,6,0,1.029,10,2
96,2021,SQL Developer,Mid,Energy,Singapore,Copy-Paste Reporting|Cold Calling|Power BI|Machine Learning,4,107839.0,0.98,103.3,5.08,2,Low,Critical Risk,4,0,0.725,20,2
97,2022,Operations Analyst,Lead,Government,India,Machine Learning|Spark/PySpark|A/B Testing|Excel (Basic)|MLOps|Cloud (AWS/GCP),6,297997.0,0.066,131.2,7.93,4,Elite,Low Risk,6,1,1.295,16,4
98,2022,Machine Learning Engineer,Principal,Consulting,USA,Power BI|Copy-Paste Reporting|Data Entry|Spark/PySpark,4,314874.0,0.98,112.5,4.75,5,Elite,Critical Risk,4,0,1.231,15,5
99,2025,Statistician,Senior,Energy,Singapore,Copy-Paste Reporting|MLOps|Legacy VBA,3,172962.0,0.98,168.1,4.0,3,Mid,Critical Risk,3,0,0.889,22,3
100,2022,Cloud Architect,Lead,Media,USA,Airflow|Data Entry|Legacy VBA,3,258972.0,0.98,136.8,3.93,4,Elite,Critical Risk,3,0,1.126,4,4
101,2020,Product Manager,Entry,Government,UK,Tableau|LLMs/GenAI|Crystal Reports,3,115011.0,0.468,108.7,6.4,1,Low,Moderate Risk,3,0,1.05,17,1
102,2019,Business Analyst,Senior,Tech,Germany,Vector Databases|Power BI|Spark/PySpark|Airflow|A/B Testing,5,201951.0,0.05,100.6,8.36,3,High,Low Risk,5,1,1.038,3,3
103,2024,BI Developer,Mid,Healthcare,UK,Manual Testing|Legacy VBA|Airflow|Statistics|Excel (Basic)|Spark/PySpark,6,156575.0,0.98,124.3,5.45,2,Mid,Critical Risk,6,0,1.053,2,2
104,2024,Statistician,Lead,Manufacturing,USA,Prompt Engineering|Legacy VBA|R|LLMs/GenAI|Deep Learning|Tableau,6,323326.0,0.238,162.8,7.38,4,Elite,Low Risk,6,1,1.406,22,4
105,2023,AI Engineer,Lead,Manufacturing,UAE,dbt|SQL|Copy-Paste Reporting|Statistics|Cloud (AWS/GCP),5,346832.0,0.754,124.0,6.68,4,Elite,Critical Risk,5,0,1.508,0,4
106,2023,DevOps Engineer,Principal,Manufacturing,Germany,Basic SEO|Legacy VBA|SQL,3,247605.0,0.98,117.4,4.17,5,Elite,Critical Risk,3,0,0.968,9,5
107,2023,Supply Chain Analyst,Entry,Energy,UAE,Cold Calling|COBOL|Airflow|Manual Testing|Vector Databases,5,95670.0,0.98,117.2,4.68,1,Low,Critical Risk,5,0,0.874,23,1
108,2020,Accountant,Senior,Healthcare,UK,Prompt Engineering|COBOL|Tableau,3,138224.0,0.79,112.8,6.03,3,Mid,Critical Risk,3,0,0.711,1,3
109,2021,Product Manager,Mid,Finance,Germany,MS Access|Power BI|LLMs/GenAI|dbt|Spark/PySpark,5,194469.0,0.234,125.5,7.4,2,High,Low Risk,5,1,1.308,17,2
110,2021,Content Strategist,Principal,Manufacturing,India,Basic SEO|Statistics|COBOL|Prompt Engineering|MS Access,5,192013.0,0.98,124.5,4.62,5,High,Critical Risk,5,0,0.751,5,5
111,2025,Machine Learning Engineer,Lead,Finance,India,Copy-Paste Reporting|Legacy VBA|MS Access|SQL,4,257510.0,0.98,170.4,3.18,4,Elite,Critical Risk,4,0,1.119,15,4
112,2025,SEO Specialist,Senior,Finance,Singapore,Kubernetes|R|Cloud (AWS/GCP),3,158074.0,0.459,138.6,7.87,3,Mid,Moderate Risk,3,0,0.813,19,3
113,2024,Product Manager,Senior,Energy,Singapore,Cloud (AWS/GCP)|Legacy VBA|Airflow|Statistics|Python,5,259853.0,0.445,143.0,7.18,3,Elite,Moderate Risk,5,0,1.336,17,3
114,2023,Cloud Architect,Principal,Retail,UK,Crystal Reports|Prompt Engineering|Data Entry|Power BI|Cloud (AWS/GCP)|Spark/PySpark,6,417931.0,0.98,111.0,6.35,5,Elite,Critical Risk,6,0,1.634,4,5
115,2019,AI Engineer,Lead,Finance,UK,R|Spark/PySpark|SQL|Tableau,4,294949.0,0.05,97.6,7.57,4,Elite,Low Risk,4,1,1.282,0,4
116,2024,Operations Analyst,Principal,Government,Brazil,Power BI|Data Entry|Cloud (AWS/GCP)|Basic SEO,4,212772.0,0.98,127.4,5.32,5,High,Critical Risk,4,0,0.832,16,5
117,2022,Statistician,Entry,Education,Canada,Tableau|Airflow|Vector Databases|Cloud (AWS/GCP)|Legacy VBA|COBOL,6,126214.0,0.869,123.9,6.2,1,Low,Critical Risk,6,0,1.153,22,1
118,2024,DevOps Engineer,Entry,Government,Germany,Cloud (AWS/GCP)|Copy-Paste Reporting|Basic SEO|Tableau,4,132251.0,0.98,113.8,5.15,1,Low,Critical Risk,4,0,1.208,9,1
119,2020,HR Analyst,Principal,Tech,USA,Airflow|Spark/PySpark|COBOL|Excel (Basic)|dbt,5,217614.0,0.875,102.6,6.04,5,High,Critical Risk,5,0,0.851,13,5
120,2025,SEO Specialist,Mid,Energy,Canada,MLOps|Cold Calling|Spark/PySpark|COBOL,4,121606.0,0.98,161.9,5.22,2,Low,Critical Risk,4,0,0.818,19,2
121,2019,Statistician,Mid,Healthcare,Netherlands,COBOL|LLMs/GenAI|Cloud (AWS/GCP)|Legacy VBA|Copy-Paste Reporting,5,148096.0,0.98,99.5,4.6,2,Mid,Critical Risk,5,0,0.996,22,2
122,2019,DevOps Engineer,Mid,Energy,Australia,LLMs/GenAI|Kubernetes|Machine Learning,3,191008.0,0.05,98.0,9.13,2,High,Low Risk,3,1,1.284,9,2
123,2022,Content Strategist,Entry,Finance,UAE,Cold Calling|Vector Databases|A/B Testing|Excel (Basic)|Cloud (AWS/GCP)|Tableau,6,106336.0,0.98,121.6,6.52,1,Low,Critical Risk,6,0,0.971,5,1
124,2023,Business Analyst,Principal,Manufacturing,UAE,Machine Learning|Statistics|Copy-Paste Reporting,3,215914.0,0.98,126.6,5.97,5,High,Critical Risk,3,0,0.844,3,5
125,2024,Machine Learning Engineer,Lead,Consulting,UK,MLOps|Manual Testing|Spark/PySpark,3,321130.0,0.384,124.1,6.83,4,Elite,Moderate Risk,3,0,1.396,15,4
126,2021,Accountant,Principal,Media,Australia,Manual Testing|A/B Testing|Prompt Engineering|Tableau|Basic SEO|Copy-Paste Reporting,6,211623.0,0.98,113.5,5.27,5,High,Critical Risk,6,0,0.827,1,5
127,2025,Operations Analyst,Entry,Media,Canada,Tableau|Airflow|Power BI|MLOps|Copy-Paste Reporting|SQL,6,128680.0,0.98,132.8,6.87,1,Low,Critical Risk,6,0,1.175,16,1
128,2019,Cloud Architect,Lead,Education,Germany,Spark/PySpark|Legacy VBA|Statistics|Deep Learning|Basic SEO,5,308553.0,0.866,97.4,6.04,4,Elite,Critical Risk,5,0,1.341,4,4
129,2022,Machine Learning Engineer,Senior,Healthcare,Netherlands,Excel (Basic)|R|MLOps,3,230984.0,0.25,127.8,6.33,3,High,Moderate Risk,3,0,1.188,15,3
130,2022,DevOps Engineer,Lead,Tech,Germany,Vector Databases|Cloud (AWS/GCP)|Excel (Basic)|A/B Testing|dbt,5,324302.0,0.144,107.8,7.6,4,Elite,Low Risk,5,1,1.41,9,4
131,2022,Excel Analyst,Entry,Education,Netherlands,Cloud (AWS/GCP)|Cold Calling|Kubernetes|Excel (Basic)|Airflow,5,88226.0,0.98,108.6,6.18,1,Low,Critical Risk,5,0,0.806,11,1
132,2025,SEO Specialist,Principal,Energy,Netherlands,Manual Testing|Legacy VBA|Basic SEO,3,139567.0,0.98,151.3,2.6,5,Mid,Critical Risk,3,0,0.546,19,5
133,2019,BI Developer,Senior,Manufacturing,Australia,Python|LLMs/GenAI|Copy-Paste Reporting|Spark/PySpark|Excel (Basic),5,192934.0,0.98,99.4,6.44,3,High,Critical Risk,5,0,0.992,2,3
134,2019,Data Engineer,Entry,Finance,Netherlands,SQL|Power BI|Tableau|MLOps,4,134064.0,0.05,97.0,7.98,1,Mid,Low Risk,4,1,1.224,7,1
135,2021,Product Manager,Senior,Energy,Brazil,Machine Learning|Spark/PySpark|LLMs/GenAI,3,259376.0,0.05,116.8,9.33,3,Elite,Low Risk,3,1,1.334,17,3
136,2019,Supply Chain Analyst,Entry,Manufacturing,UAE,Statistics|Manual Testing|Tableau|Power BI|Kubernetes|dbt,6,106989.0,0.428,99.3,7.03,1,Low,Moderate Risk,6,0,0.977,23,1
137,2019,DevOps Engineer,Lead,Finance,Germany,A/B Testing|Legacy VBA|Prompt Engineering|Machine Learning|Airflow|SQL,6,305176.0,0.245,103.6,7.42,4,Elite,Low Risk,6,1,1.327,9,4
138,2019,Data Analyst,Mid,Manufacturing,Canada,Cold Calling|Kubernetes|Prompt Engineering|MLOps,4,130376.0,0.514,106.4,7.1,2,Low,High Risk,4,0,0.877,6,2
139,2022,Product Manager,Lead,Healthcare,India,R|Crystal Reports|Airflow|A/B Testing|Copy-Paste Reporting|Legacy VBA,6,251599.0,0.98,137.9,4.58,4,Elite,Critical Risk,6,0,1.094,17,4
