job_role,recommended_skill,skill_tier,category,salary_boost_usd,trend_score_2026,recommendation_score,rank,why
QA Engineer,Python,📈 Rising,Rising,18000,9.21,47.56,2,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
QA Engineer,Manual Testing,📉 Declining,Declining,1000,2.29,3.3,3,Recommended for: strong role alignment
IT Support Specialist,MS Access,📉 Declining,Declining,1000,1.72,1.91,1,Recommended for: strong role alignment
IT Support Specialist,Legacy VBA,💀 Obsolete,Declining,500,1.29,0.9,2,Recommended for: strong role alignment
IT Support Specialist,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,3,Recommended for: strong role alignment
IT Support Specialist,Cold Calling,💀 Obsolete,Declining,0,0.96,0.0,4,Recommended for: strong role alignment
Digital Marketer,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Digital Marketer,A/B Testing,📈 Rising,Rising,13000,8.23,47.64,2,"Recommended for: rapidly growing demand, high market demand"
Digital Marketer,Basic SEO,📉 Declining,Declining,1500,2.32,2.72,3,Recommended for: strong role alignment
Digital Marketer,Cold Calling,💀 Obsolete,Declining,0,0.96,0.0,4,Recommended for: strong role alignment
Content Strategist,Prompt Engineering,🚀 Skyrocketing,Rising,21000,9.93,58.55,1,"Recommended for: rapidly growing demand, +$21,000 salary potential, accelerating trend, high market demand"
Content Strategist,Basic SEO,📉 Declining,Declining,1500,2.32,2.72,2,Recommended for: strong role alignment
Content Strategist,Cold Calling,💀 Obsolete,Declining,0,0.96,0.0,3,Recommended for: strong role alignment
SEO Specialist,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
SEO Specialist,A/B Testing,📈 Rising,Rising,13000,8.23,47.64,2,"Recommended for: rapidly growing demand, high market demand"
SEO Specialist,Basic SEO,📉 Declining,Declining,1500,2.32,2.72,3,Recommended for: strong role alignment
Financial Analyst,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Financial Analyst,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Financial Analyst,Python,📈 Rising,Rising,18000,9.21,47.56,3,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Financial Analyst,Power BI,📈 Rising,Rising,9000,8.09,46.73,4,"Recommended for: rapidly growing demand, high market demand"
Financial Analyst,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,5,Recommended for: strong role alignment
Accountant,MS Access,📉 Declining,Declining,1000,1.72,1.91,1,Recommended for: strong role alignment
Accountant,Legacy VBA,💀 Obsolete,Declining,500,1.29,0.9,2,Recommended for: strong role alignment
Accountant,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,3,Recommended for: strong role alignment
Accountant,Copy-Paste Reporting,💀 Obsolete,Declining,0,0.5,0.0,4,Recommended for: strong role alignment
HR Analyst,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
HR Analyst,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
HR Analyst,Power BI,📈 Rising,Rising,9000,8.09,46.73,3,"Recommended for: rapidly growing demand, high market demand"
HR Analyst,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,4,Recommended for: strong role alignment
Supply Chain Analyst,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Supply Chain Analyst,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Supply Chain Analyst,Python,📈 Rising,Rising,18000,9.21,47.56,3,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Supply Chain Analyst,Power BI,📈 Rising,Rising,9000,8.09,46.73,4,"Recommended for: rapidly growing demand, high market demand"
Supply Chain Analyst,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,5,Recommended for: strong role alignment
Operations Analyst,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Operations Analyst,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Operations Analyst,Power BI,📈 Rising,Rising,9000,8.09,46.73,3,"Recommended for: rapidly growing demand, high market demand"
Operations Analyst,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,4,Recommended for: strong role alignment
Product Manager,LLMs/GenAI,🚀 Skyrocketing,Rising,30000,10.0,54.19,1,"Recommended for: rapidly growing demand, +$30,000 salary potential, high market demand"
Product Manager,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Product Manager,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,3,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Product Manager,A/B Testing,📈 Rising,Rising,13000,8.23,47.64,4,"Recommended for: rapidly growing demand, high market demand"
Product Manager,Python,📈 Rising,Rising,18000,9.21,47.56,5,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
